rainfall,temperature,N,P,K,pH,State_Name_andhra pradesh,State_Name_assam,State_Name_bihar,State_Name_chhattisgarh,State_Name_gujarat,State_Name_karnataka,State_Name_madhya pradesh,State_Name_maharashtra,State_Name_odisha,State_Name_rajasthan,State_Name_tamil nadu,State_Name_telangana,State_Name_uttar pradesh,State_Name_west bengal,Crop_Type_kharif,Crop_Type_rabi,Crop_Type_summer,Crop_Type_whole year,Crop_Black Gram,Crop_Dry chillies,Crop_Gram,Crop_Horse-gram,Crop_Jowar,Crop_Linseed,Crop_Maize,Crop_Mung beans,Crop_Pigeon peas(Toor Dal),Crop_Ragi,Crop_Rice,Crop_Sesame Seed,Crop_Sunflower,Yield_ton_per_hec
1166.9399999999998,28.33333333333333,80.0,40.0,40.0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6212979963279317
167.38,23.56,80.0,40.0,40.0,5.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4603174603174602
152.54000000000002,22.28,80.0,40.0,40.0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0440586262954685
1543.76,27.33333333333333,80.0,40.0,40.0,5.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8
1145.2199999999998,28.5,80.0,40.0,40.0,5.46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
790.98,30.616666666666664,80.0,40.0,40.0,5.58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1570093457943926
1151.02,28.03333333333333,80.0,40.0,40.0,5.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4831137912648847
152.54000000000002,22.28,80.0,40.0,40.0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.766905262403019
297.66,29.566666666666663,80.0,40.0,40.0,5.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.55167452909097
127.68,20.8,80.0,40.0,40.0,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9012483486774057
37.09,27.96666666666667,80.0,40.0,40.0,5.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9
288.3,25.46,80.0,40.0,40.0,5.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.990664470071389
98.98000000000002,34.92333333333334,80.0,40.0,40.0,5.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6048703849175177
1151.02,28.03333333333333,80.0,40.0,40.0,5.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1275197461875626
497.88,25.03333333333333,80.0,40.0,40.0,5.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.904534679678601
770.44,28.68,80.0,40.0,40.0,5.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9369919111237253
840.46,33.583333333333336,80.0,40.0,40.0,5.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.306033483281547
497.88,25.03333333333333,80.0,40.0,40.0,5.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.272727272727273
840.46,33.583333333333336,80.0,40.0,40.0,5.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2672566371681415
497.88,25.03333333333333,80.0,40.0,40.0,5.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0143972517176763
167.38,23.56,80.0,40.0,40.0,5.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2472324723247232
579.75,34.01,80.0,40.0,40.0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7162677989363526
1151.02,28.03333333333333,80.0,40.0,40.0,5.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.443992323165218
297.66,29.566666666666663,80.0,40.0,40.0,5.36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.852822806036892
1011.49,30.43,80.0,40.0,40.0,5.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5286594582025346
182.5,29.2,80.0,40.0,40.0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.118206828124295
1543.76,27.33333333333333,80.0,40.0,40.0,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9457808435390056
288.3,25.46,80.0,40.0,40.0,5.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4450968878449792
607.48,26.366666666666664,80.0,40.0,40.0,5.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6222509702457955
113.7,30.266666666666666,80.0,40.0,40.0,5.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1288841267411605
607.48,26.366666666666664,80.0,40.0,40.0,5.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7323232323232324
1151.02,28.03333333333333,80.0,40.0,40.0,5.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.382465438286741
607.48,26.366666666666664,80.0,40.0,40.0,5.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4
840.46,33.583333333333336,80.0,40.0,40.0,5.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3275862068965518
127.68,20.8,80.0,40.0,40.0,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1564050632911391
497.88,25.03333333333333,80.0,40.0,40.0,5.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.231
497.88,25.03333333333333,80.0,40.0,40.0,5.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1408167539267016
510.05,33.37333333333333,80.0,40.0,40.0,5.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.222314737718568
1151.02,28.03333333333333,80.0,40.0,40.0,5.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.34593013418958
167.38,23.56,80.0,40.0,40.0,5.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0228571428571427
607.48,26.366666666666664,80.0,40.0,40.0,5.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6065573770491803
